1, 0.000001, 0.000002, 0.000222, 0.003324, 1
2, 0.000001, 0.000002, 0.0002425, 0.002640, 1
3, 0.000001, 0.000002, 0.001501, 0.001912, 1
4, 0.000001, 0.000002, 0.000173, 0.003527, 1
5, 0.000001, 0.000002, 0.000196, 0.003192, 1
6, 0.000001, 0.000002, 0.004159, 0.003712, 1
7, 0.000001, 0.000002, 0.002173, 0.005652, 1
8, 0.000001, 0.000002, 0.001745, 0.006324, 1
9, 0.000001, 0.000003, 0.002558, 0.013982, 1
10, 0.000001, 0.000002, 0.002361, 0.005937, 1
20, 0.000001, 0.000008, 0.002623, 0.007571, 1
30, 0.000001, 0.000025, 0.003730, 0.024875, 1
100, 0.001020, 0.001054, 0.002463, 0.2956, 1
500, 0.088097, 0.091822, 0.025704, 5.281063, 1
1000, 0.69976, 0.6687, 0.172420, 18.9979, 1
